Depth,Inc,Azi,TVD,EW,NS,Dogleg
0,0,0,0,0,0,0
10,0.07,154.27,9.99999751229126,0.002651953986359,-0.005502977802523,0.069999999998729
20,0.13,36.93,19.9999885663643,0.012120209655619,-0.00193739306073,0.17366261540565
30,0.23,347.41,29.9999432745591,0.014561521416694,0.026719804704435,0.17600803781236
40,0.28,314.61,39.9998491313689,-0.00720849070754,0.063468245944876,0.15177252021756
50,0.22,289.77,49.9997563749481,-0.042670490945002,0.087121884879672,0.1224657131699
60,0.14,246.61,59.9997104452828,-0.071950803832933,0.088765597150779,0.15187514456402
70,0.15,190.46,69.9996831325548,-0.085540602422401,0.071043049602946,0.13676660773743
80,0.2,151.04,79.9996396355574,-0.079466220670549,0.042899747782463,0.12707968102858
90,0.24,130.83,89.9995672154945,-0.055168114821847,0.013935407554963,0.086662730131638
100,0.34,102.64,99.9994427687634,-0.010369490500317,-0.006250691782003,0.17134079463524
110,0.51,95.17,109.999164741527,0.062906154411042,-0.01675373932368,0.17844667587655
120,0.51,83.7,119.998771226224,0.15146696448832,-0.015880403101216,0.10192479504591
130,0.49,73.82,129.9983922876,0.23676988345565,0.000918697798822,0.088386689090834
140,0.69,70.68,139.997857286662,0.33465792245527,0.03275497092058,0.2025220051943
150,0.9,67.39,149.996889595723,0.46398015806392,0.082869828428815,0.21481823837133
160,0.9,64.96,159.995656290258,0.60763580471511,0.14630440727646,0.038165921185624
170,0.93,64.11,169.994381083296,0.75180005920863,0.21498066669312,0.032927086428821
180,0.92,64.62,179.993077924716,0.89734248437932,0.28482656811429,0.012953134716784
190,0.83,75.01,189.991917161376,1.03983986487673,0.33797063416784,0.18204293516837
200,0.88,84.5,199.990808523991,1.1862418393114,0.36406448339642,0.14996820517618
210,0.7,85.14,209.989853887955,1.32354527208023,0.37659983207324,0.18021335553021
220,0.93,86.82,219.988835660935,1.46544013337739,0.38627691542178,0.23121336812741
230,1,82.26,229.987418230041,1.63293648790178,0.40253106282618,0.10386068799987
240,0.9,79,239.986043145608,1.79649721408186,0.42926883382631,0.11363346764036
250,0.52,69.1,249.985260578451,1.91598361493684,0.4604424809762,0.39791583700352
260,0.24,16.72,259.985055378036,1.96440155227761,0.49668910395472,0.41909158245457
270,0.26,356.35,269.984962115585,1.96898257510919,0.53939071811885,0.090578134001388
280,0.32,324.16,279.984840060101,1.95118731169252,0.58467157750392,0.17081505754259
290,1.45,280.45,289.983550396125,1.81040670543005,0.63025938883172,1.23858304526483
300,2.29,274.74,299.978143633495,1.48687262449933,0.66971777060826,0.85938355722617
310,3.39,271.87,309.965713082263,0.99225019556508,0.69587580086051,1.10880972671682
320,4.19,269.59,319.943767917841,0.33142449977249,0.70290972222222,0.81391470614765
330,5.42,269.7,329.908432123576,-0.50619162372151,0.69782253293776,1.23003394770869
340,6.82,269.47,339.851192826084,-1.57224478285449,0.6898570190064,1.40021191995967
350,8.43,269.55,349.762444148534,-2.89904188928014,0.67860704938577,1.61003460581896
360,9.73,269.67,359.636921967569,-4.47710527934405,0.66798266403365,1.30013722745048
370,10.7,269.28,369.478297766279,-6.25042096082478,0.65144981545645,0.9724571488691
380,12.11,269.72,379.280591510399,-8.22771445902044,0.63465739714214,1.41267179868953
390,12.93,271.17,389.042736614252,-10.3952595255758,0.65237639707112,0.87812016545302
400,13.75,271.86,398.77284013429,-12.7016727653355,0.71379559227803,0.83529744017491
410,14.47,274.01,408.471138722449,-15.1358316844027,0.83974032114957,0.89045673815998
420,15.39,274.49,418.133451793164,-17.7050613812781,1.03099291150442,0.9282667454131
430,16.32,275.92,427.752945232161,-20.4255140649845,1.27979114294668,1.0086608200029
440,17.33,276.82,437.324770699912,-23.3019441401446,1.60157624592041,1.04302536950128
450,18.2,277.05,446.847839939434,-26.3307052335567,1.97012019845621,0.87282405084261
460,19.29,277.07,456.317278918049,-29.5198581327495,2.36510523761367,1.09001893303907
470,20.24,277.1,465.728046308646,-32.8756268776511,2.78221677408032,0.95005413620143
480,21.04,277.35,475.086108894004,-36.3725350774061,3.22567293810227,0.80483724633179
490,21.48,277.38,484.405531998997,-39.9686161039346,3.69049816539854,0.44013443313554
500,22.07,277.2,493.691969802994,-43.6482455918786,4.16114111556477,0.59376585264961
510,22.93,276.53,502.930693813494,-47.4475977839698,4.61815021454511,0.89739424338836
520,23.83,274.7,512.1096542816,-51.3964536822043,5.00522588687749,1.15634578269677
530,24.8,272.12,521.222761507798,-55.5058230989772,5.24834738853142,1.43834904035215
540,25.77,270.29,530.264737710955,-59.7755865234269,5.33693639732375,1.24563033037468
550,26.3,268.84,539.250058981025,-64.1643352022606,5.3030897098999,0.82818583781838
560,26.41,266.91,548.210831568613,-68.6000452481471,5.13835656235979,0.86378630654146
570,27.21,264.52,557.136093384413,-73.096791598207,4.80012523242616,1.34225321352617
580,27.96,262.48,565.999479232046,-77.6968906841072,4.27497077570355,1.20608370001296
590,28.42,260.68,574.813476458035,-82.3693570738207,3.58277250955362,0.96671821213047
600,29.53,259.22,583.561762319152,-87.1387155687017,2.73641730533529,1.31610564680162
610,30.16,257.91,592.235560826432,-92.0160869519658,1.74930960873003,0.90656138445245
620,30.12,256.81,600.883638512166,-96.9153601114416,0.65063021478121,0.5537661524441
630,30.39,255.26,609.521679643,-101.804490032592,-0.56547868311775,0.82629888682976
640,30.99,254.7,618.12107183224,-106.733916661226,-1.88838679954177,0.66459422265061
650,31.71,254.26,626.661078388918,-111.746740466709,-3.28066427239392,0.75551060310458
660,32.22,253.69,635.144786462387,-116.834913648115,-4.74227284184245,0.5925812205972
670,32.76,253.45,643.579610896881,-121.987045151617,-6.26164617531291,0.55517423683856
680,33.32,253.49,651.962478969595,-127.213935831921,-7.81288420347565,0.56042448268289
690,33.67,252.94,660.301825350487,-132.497364927334,-9.40666402320948,0.46327624277523
700,34.32,252.57,668.592653578852,-137.837126716311,-11.0643522305446,0.68212426519343
710,34.84,252.5,676.825970984141,-143.251023448115,-12.7677360017307,0.52151539751031
720,35.58,252.8,684.996363196418,-148.754424726377,-14.4869798655635,0.7599450710626
730,36.16,253.1,693.099820485258,-154.356370278378,-16.2049011748446,0.60605143818434
740,36.59,252.88,701.151331554706,-160.027563221276,-17.9399019029233,0.44935860803289
750,37.26,252.82,709.145512266674,-165.768088006904,-19.7114286778154,0.67096887490567
760,38.1,253.19,717.059821142627,-171.613644063562,-21.4978408477587,0.86991032713987
770,38.82,253.86,724.89022976928,-177.577934044184,-23.2614136560707,0.83188945247842
780,39.62,254.36,732.637424709131,-183.659297133635,-24.9923426629632,0.86019848417549
790,40.59,255.2,740.286042089319,-189.875180158041,-26.6829989822629,1.11070748893405
800,41.17,256.06,747.846890315715,-196.215101503668,-28.3069796926611,0.80819760371664
810,42.07,257.26,755.322596909699,-202.677588021115,-29.8387794337292,1.20215331869024
820,42.74,258.34,762.706619199594,-209.268801016876,-31.2634338265544,0.98959996974368
830,43.51,258.82,770.005224948714,-215.969337030148,-32.6167234906079,0.83699346583927
840,43.89,258.83,777.234883166169,-222.74715650729,-33.9556926900836,0.38006279889116
850,44.01,259.03,784.434342672958,-229.558318469068,-35.2882729230881,0.18348592836061
860,43.88,259.05,791.634404093521,-236.37141339563,-36.607670388785,0.13073880841162
870,43.99,259.12,798.83567744073,-243.184309147233,-37.9214728674184,0.12024532320304
880,43.86,259.41,806.03816819025,-250.000044723533,-39.213653163919,0.23952524585834
890,44.2,260.31,813.227988849778,-256.841709424404,-40.4370976072264,0.71195545846161
900,44.26,260.56,820.393448799784,-263.720129245779,-41.5961653929227,0.1844183425743
910,44.5,260.48,827.540612789414,-270.61874246732,-42.7481325631808,0.24643605978803
920,44.89,260.57,834.649208328536,-277.556105484202,-43.9059181910096,0.39510355497976
930,45.2,260.55,841.714711774255,-284.536883287223,-45.0665894913094,0.31032291602099
940,45.08,260.39,848.768481630246,-291.527378119572,-46.2401497208217,0.16511368665976
950,44.99,260.32,855.835228367066,-298.502750737789,-47.4255781691622,0.10272775220405
960,44.73,260.84,862.923571057403,-305.461334344857,-48.5801339132211,0.44959748275712
970,44.76,261.49,870.026076822464,-312.417262613419,-49.6613092084296,0.45855043188918
980,44.61,261.26,877.135915491436,-319.369814380457,-50.715868124684,0.220588064959
990,44.48,261.07,884.26291454015,-326.301269761909,-51.7932366143726,0.18618080864663
1000,44.6,260.92,891.390524724266,-333.228882715785,-52.8910923294767,0.15959118519189
1010,44.66,261.04,898.507108702253,-340.167261561004,-53.9925024733266,0.1034746707072
1020,44.75,261.14,905.614489748352,-347.116939930567,-55.0820308583813,0.11423007016171
1030,44.77,260.82,912.71512377426,-354.071231765271,-56.1859745215571,0.22621008879355
1040,44.85,260.51,919.809609232582,-361.02546001533,-57.3291491000163,0.23266119730812
1050,44.72,260.54,926.90715964084,-367.973838012887,-58.4887944644585,0.13170657553538
1060,44.81,260.48,934.007169639295,-374.919468312393,-59.6498511689235,0.099424509611786
1070,44.82,260.48,941.101032024464,-381.870599509252,-60.815566095691,0.009999999982652
1080,44.76,261.13,948.198006554802,-388.825096443083,-61.9413473604716,0.4618444112535
1090,44.94,261.97,955.28762236995,-395.80095294614,-62.9775908281905,0.61915137788141
1100,45.03,262.01,962.360540557102,-402.801199632932,-63.9626553187312,0.094337587664362
1110,44.89,262.1,969.43654214814,-409.799498765634,-64.9393593231381,0.15376715076073
1120,44.35,262.05,976.554325076932,-416.756406551988,-65.9077894350852,0.54114081583425
1130,44.12,261.86,983.719169461393,-423.663773032054,-66.8840652031248,0.26545800405361
1140,43.73,261.44,990.921655972406,-430.52736532417,-67.891382092154,0.48681569806647
1150,43.57,261.37,998.157351842039,-437.352356390835,-68.9229494970288,0.16713641890738
1160,43.61,261.07,1005.40028167883,-444.166473991725,-69.9754018843826,0.21067988160511
1170,43.51,260.91,1012.64681429722,-450.972578463294,-71.0545917138624,0.14885178955943
1180,43.72,260.76,1019.88672515891,-457.782596202471,-72.1533227921468,0.23410738736668
1190,43.76,260.27,1027.11159248998,-464.601900445851,-73.2926586860517,0.34113229446059
1200,42.82,260.15,1034.3904365526,-471.358892798562,-74.4585160072171,0.94359409637337
1210,43.62,259.48,1041.67771260691,-478.09881001106,-75.6696992005432,0.92222380415546
1220,43.59,259.26,1048.9188335362,-484.877272284424,-76.9419240904506,0.1546675051405
1230,43.64,259.31,1056.15874647158,-491.655088919972,-78.224442307502,0.060742004815345
1240,43.39,259.13,1063.4106849,-498.419016843134,-79.5122584564597,0.27903497304756
1250,43.36,259.13,1070.67942881976,-505.163497763902,-80.807378780476,0.02999999999745
1260,43.05,259.13,1077.9685087954,-511.886761067605,-82.0984247557902,0.30999999999941
1270,43.07,258.85,1085.27490667408,-518.588714796727,-83.4023697166487,0.1922170959832
1280,42.93,258.91,1092.58844218174,-525.280652742618,-84.7177065183285,0.14585758313336
1290,42.8,259.01,1099.91802737857,-531.95748755723,-86.0203972157502,0.14672323439441
1291,42.9,258.98,1100.65116395407,-532.625062433734,-86.1502212563354,0.10206007590554
1309.27,42.67,260.16,1114.05986759716,-544.829387961927,-88.3970219870579,0.83385169559925
1333.54,42.16,266.13,1131.98520948682,-561.066454699607,-90.3531692341477,4.05786139800342
1345.68,42.04,263.17,1140.99369501357,-569.168105835689,-91.1116234141078,1.9879646917428
1358.06,42.01,263.44,1150.19022009377,-577.399423207345,-92.0778584598138,0.18322537069816
1370.52,42.03,263.58,1159.44689578161,-585.686568193361,-93.0205922518706,0.095824958595838
1382.95,41.82,262.84,1168.69511757197,-593.9333991472,-94.0023973081912,0.53718167576756
1407.82,41.88,259.95,1187.22238025754,-610.335747679807,-96.4847308454757,1.9289777154025
1419.97,42.3,260.86,1196.23887324737,-618.365774641272,-97.8419212981382,0.74057528477918
1432.45,43.27,259.01,1205.39829927907,-626.711272470714,-99.3244929763247,1.58736495925846
1444.65,43.68,257.42,1214.25178012103,-634.927748092114,-101.039208321523,1.16825963886106
1457.08,43.9,258.39,1223.22485830629,-643.33839579748,-102.841378136135,0.7063834347005
1469.51,43.3,256.42,1232.22669513603,-651.70338320304,-104.709577667565,1.48508970872466
1481.91,42.97,257.04,1241.27555883261,-659.955007537269,-106.655762454178,0.53720884017527
1506.76,43.07,257.04,1259.44377905566,-676.477136172114,-110.458048943051,0.1000000000002
1519.19,43.35,256.44,1268.50340366523,-684.760628691474,-112.410197565843,0.49714999559509
1531.62,42.97,257.63,1277.57055773088,-693.046074599202,-114.318033577194,0.89832129779468
1556.45,43,258.15,1295.73456058608,-709.598492800562,-117.869564325031,0.35580589290407
1568.83,42.96,256.98,1304.79181216536,-717.840187654696,-119.686864052163,0.79863419202918
1581.29,42.62,258.06,1313.93567522347,-726.104111672678,-121.516167586108,0.80860299173846
1605.89,42.85,259.24,1332.00466196547,-742.470866155926,-124.801042508399,0.8331249995123
1630.22,44.82,258.01,1349.55425689051,-758.988343422946,-128.127354238163,2.14622409812362
1654.82,44.79,258.27,1367.00819894011,-775.95377008671,-131.690172718578,0.18566071306574
1667.22,44.52,258.52,1375.8289587652,-784.490750518213,-133.443385819103,0.32213881321305
1679.4,44.27,258.69,1384.53197586706,-792.843907036244,-135.126947779422,0.27684790521274
1704.25,43.68,257.78,1402.4152025072,-809.735599701818,-138.644291831334,0.86447644221863
1728.93,44.02,258.49,1420.21341440851,-826.467760935317,-142.159303280083,0.59793825241022
1753.73,43.68,257.75,1438.09817490576,-843.28033653954,-145.695789614838,0.61514773584784
1778.56,44.3,257.48,1455.9623210717,-860.124100024246,-149.394741777122,0.64773738216209
1803.39,44.26,256.29,1473.73933506857,-877.006779649735,-153.328057735051,0.83177148366122
1828.24,43.69,257.02,1491.62250236908,-893.794900841542,-157.311108572391,0.76276333515136
1852.91,43.88,256.16,1509.43294879648,-910.399613073021,-161.270199526588,0.62467277748896
1877.28,43.71,255.58,1527.02378295464,-926.755198817471,-165.387407774989,0.43591967563558
1901.59,43.47,255.48,1544.63131587394,-942.985068416672,-169.575639128115,0.24970778386868
1925.92,44.26,257.25,1562.17315763365,-959.36864889268,-173.547917773675,1.45888370588614
1950.26,43.69,258.33,1579.68944200796,-975.885950036907,-177.122942547596,0.94191814209029
1974.93,43.95,257.25,1597.48954278289,-992.580339065598,-180.73583670112,0.79168946754825
1999.53,43.4,257.16,1615.28188208694,-1009.14639932026,-184.497964216824,0.55350033570461
2023.87,42.49,257.51,1633.09879613076,-1025.32534653882,-188.134106715756,0.94072030340874
2036.26,42.49,258.65,1642.2352606504,-1033.51357227955,-189.862621900406,0.77001922407106
2048.51,41.87,258.8,1651.31294676506,-1041.58017463742,-191.47089372814,0.62812730579035
2072.9,42.94,258.97,1669.32218155329,-1057.7192585406,-194.641389916815,1.07612318520498
2097.72,43.91,259.31,1687.34813189297,-1074.47491125732,-197.855429241786,0.99775654401035
2122.18,43.25,259.76,1705.06720793836,-1091.05608912046,-200.918500847981,0.72926573460119
2146.56,42.25,259.56,1722.96977186539,-1107.33631754407,-203.888585206094,1.00917228335931
2170.97,41.13,259.2,1741.1977800379,-1123.29311326923,-206.88001431472,1.14530378885357
2195.33,39.97,256.97,1759.70812754338,-1138.78700463169,-210.145599345074,1.85656973073014
2219.63,37.28,258.16,1778.69098043688,-1153.59677493809,-213.415963447089,2.79057258347804
2244.15,35.32,257.76,1798.45140650027,-1167.79310222975,-216.442639738975,1.97424433997801
2268.39,32.42,256.76,1818.5759906056,-1180.9688977046,-219.417043050721,2.95297842109309
2292.7,29.2,257.2,1839.45241211353,-1193.09801902231,-222.224043746734,3.22785733222969
2317.03,25.85,258.1,1861.02550299709,-1204.07867492483,-224.633325830382,3.37563245915442
2341.36,23.19,259.4,1883.15951271811,-1213.97928295574,-226.608623154661,2.71401159723023
2365.77,20.42,260.6,1905.82096738845,-1222.90628994239,-228.18852132014,2.80549683908622
2390.09,16.94,260.8,1928.85630295301,-1230.59178215973,-229.448306530275,3.4805845556986
2414.91,14.25,260.58,1952.76038677167,-1237.1759503609,-230.526593533103,2.69064538771709
2439.54,12.41,260.57,1976.725782493,-1242.77773216724,-231.456439861624,1.84000143774011
2463.86,11.49,259.7,2000.51849960425,-1247.73898312262,-232.317722085616,0.93744471869767
2488.29,11.09,259.18,2024.4757084794,-1252.44077554251,-233.193855607421,0.41274758748323
2513.13,11.04,260.3,2048.85396283123,-1257.13166125399,-234.043057090047,0.22068807132558
2537.45,10.37,259,2072.75061109128,-1261.57563292018,-234.853059151076,0.71214661498786
2561.99,9.74,260.12,2096.91359334338,-1265.78877299058,-235.630676082177,0.65962064035499
2586.18,8.46,262.86,2120.79874991769,-1269.57040798621,-236.202970123284,1.35101407750579
2610.41,7.95,263.9,2144.78066054379,-1273.00508145878,-236.602565608723,0.53113833855866
2634.83,8.05,264.6,2168.96300953896,-1276.38653876391,-236.942930892647,0.13960802411066
2646.94,7.84,263.53,2180.95676812567,-1278.05138900804,-237.115798015065,0.25684509837794
2659.34,7.87,265.31,2193.24043855645,-1279.73782790047,-237.280510287663,0.24509935361841
2683.56,7.83,265.89,2217.23347697493,-1283.03600374556,-237.534333603558,0.088742071109379
2707.98,7.78,267.38,2241.42727430716,-1286.34628705732,-237.729108965796,0.20842463220986
2732.13,7.53,268.35,2265.36204371785,-1289.56089012456,-237.84939179925,0.28140863310438
2756.29,7.25,269.21,2289.32134532801,-1292.66760668391,-237.915992627991,0.30105010487788
2765.53,7.16,269.99,2298.48838535624,-1293.82643047466,-237.924131883817,0.13292740016827